Year,Estimate,SE
1982,32951.89655,4256.505988
1983,42970.70506,2379.146203
1985,30933.24215,1221.444849
1986,36478.50213,1490.776549
1987,29684.5123,1635.962235
1988,44444.9027,2725.522069
1989,47013.11675,3302.661331
1990,56678.88982,3717.969407
1991,41187.01097,2036.828956
1992,43185.31453,2096.799467
1993,45027.02863,2815.306706
1994,45230.53003,2602.270997
1995,52352.76513,2523.144778
1996,47955.21176,2618.396937
1997,53399.92419,3829.83991
1998,22588,NA
1999,23716,NA
2000,16173,NA
2001,52207,NA
2002,49214,NA
2003,56929,NA
2004,48111,NA
2005,42245,NA
2006,36748,NA
2007,22120,NA
2008,14666,1588.32579
2009,NA,NA
2010,NA,NA
2011,NA,NA
2012,NA,NA
2013,NA,NA
2014,NA,NA
2015,NA,NA
2016,NA,NA
2017,NA,NA
2018,NA,NA
2019,NA,NA
2020,NA,NA
2021,NA,NA