year,river.section,fishery,gear.type,gear.restriction,harvest,subsistence.households,comment
1980,y1,commercial,Drift Nets,unrestricted,75857,NA,
1980,y1,commercial,Drift Nets,restricted,12014,NA,
1981,y1,commercial,Drift Nets,unrestricted,88038,NA,
1981,y1,commercial,Drift Nets,restricted,11181,NA,
1982,y1,commercial,Drift Nets,unrestricted,70743,NA,
1982,y1,commercial,Drift Nets,restricted,3708,NA,
1983,y1,commercial,Drift Nets,unrestricted,76280,NA,
1983,y1,commercial,Drift Nets,restricted,19177,NA,
1984,y1,commercial,Drift Nets,unrestricted,65101,NA,
1984,y1,commercial,Drift Nets,restricted,9570,NA,
1985,y1,commercial,Drift Nets,unrestricted,76106,NA,
1985,y1,commercial,Drift Nets,restricted,13905,NA,
1986,y1,commercial,Drift Nets,unrestricted,42922,NA,
1986,y1,commercial,Drift Nets,restricted,9794,NA,
1987,y1,commercial,Drift Nets,unrestricted,62147,NA,
1987,y1,commercial,Drift Nets,restricted,14496,NA,
1988,y1,commercial,Drift Nets,unrestricted,32792,NA,
1988,y1,commercial,Drift Nets,restricted,24317,NA,
1989,y1,commercial,Drift Nets,unrestricted,32180,NA,
1989,y1,commercial,Drift Nets,restricted,26973,NA,
1990,y1,commercial,Drift Nets,unrestricted,42092,NA,
1990,y1,commercial,Drift Nets,restricted,9069,NA,
1991,y1,commercial,Drift Nets,unrestricted,52074,NA,
1991,y1,commercial,Drift Nets,restricted,1547,NA,
1992,y1,commercial,Drift Nets,unrestricted,54569,NA,
1992,y1,commercial,Drift Nets,restricted,18425,NA,
1993,y1,commercial,Drift Nets,unrestricted,47084,NA,
1993,y1,commercial,Drift Nets,restricted,2202,NA,
1994,y1,commercial,Drift Nets,unrestricted,11214,NA,
1994,y1,commercial,Drift Nets,restricted,608,NA,
1994,y1,commercial,Drift Nets,restricted8>,50419,NA,
1995,y1,commercial,Drift Nets,unrestricted,74923,NA,
1995,y1,commercial,Drift Nets,restricted,1183,NA,
1996,y1,commercial,Drift Nets,unrestricted,56642,NA,
1996,y1,commercial,Drift Nets,restricted,0,NA,
1997,y1,commercial,Drift Nets,unrestricted,63112,NA,
1997,y1,commercial,Drift Nets,restricted,3322,NA,
1998,y1,commercial,Drift Nets,unrestricted,24202,NA,
1998,y1,commercial,Drift Nets,restricted,1211,NA,
1999,y1,commercial,Drift Nets,unrestricted,37145,NA,
1999,y1,commercial,Drift Nets,restricted,16,NA,
2000,y1,commercial,Drift Nets,unrestricted,4735,NA,
2000,y1,commercial,Drift Nets,restricted,0,NA,
2001,y1,commercial,Drift Nets,unrestricted,0,NA,
2001,y1,commercial,Drift Nets,restricted,0,NA,
2002,y1,commercial,Drift Nets,unrestricted,11087,NA,
2002,y1,commercial,Drift Nets,restricted,0,NA,
2003,y1,commercial,Drift Nets,unrestricted,0,NA,
2003,y1,commercial,Drift Nets,restricted,1,NA,
2003,y1,commercial,Drift Nets,restricted8>,22708,NA,
2004,y1,commercial,Drift Nets,unrestricted,28401,NA,
2004,y1,commercial,Drift Nets,restricted,2,NA,
2005,y1,commercial,Drift Nets,unrestricted,16619,NA,
2005,y1,commercial,Drift Nets,restricted,75,NA,
2006,y1,commercial,Drift Nets,unrestricted,23728,NA,
2006,y1,commercial,Drift Nets,restricted,20,NA,
2007,y1,commercial,Drift Nets,unrestricted,13558,NA,
2007,y1,commercial,Drift Nets,restricted,5058,NA,
2008,y1,commercial,Drift Nets,unrestricted,0,NA,
2008,y1,commercial,Drift Nets,restricted,2530,NA,Summing error in this year? Final harvest of 149 wasn't added to previous cumulative harvest of 2381
2009,y1,commercial,Drift Nets,unrestricted,0,NA,
2009,y1,commercial,Drift Nets,restricted,1034,NA,as previous comment
2010,y1,commercial,Drift Nets,unrestricted,0,NA,
2010,y1,commercial,Drift Nets,restricted,5744,NA,
2011,y1,commercial,Drift Nets,unrestricted,0,NA,
2011,y1,commercial,Drift Nets,restricted,2192,NA,
2012,y1,commercial,Drift Nets,unrestricted,0,NA,
2012,y1,commercial,Drift Nets,restricted,1827,NA,
2013,y1,commercial,Drift Nets,unrestricted,0,NA,
2013,y1,commercial,Drift Nets,restricted,210,NA,
2014,y1,commercial,Drift Nets,unrestricted,0,NA,
2014,y1,commercial,Drift Nets,restricted,139,NA,
2015,y1,commercial,Drift Nets,unrestricted,0,NA,
2015,y1,commercial,Drift Nets,restricted,1868,NA,
1980,y2,commercial,Drift Nets,unrestricted,42755,NA,
1980,y2,commercial,Drift Nets,restricted,8069,NA,
1981,y2,commercial,Drift Nets,unrestricted,37660,NA,
1981,y2,commercial,Drift Nets,restricted,7642,NA,
1982,y2,commercial,Drift Nets,unrestricted,35656,NA,
1982,y2,commercial,Drift Nets,restricted,3476,NA,
1983,y2,commercial,Drift Nets,unrestricted,30798,NA,
1983,y2,commercial,Drift Nets,restricted,12431,NA,
1984,y2,commercial,Drift Nets,unrestricted,29355,NA,
1984,y2,commercial,Drift Nets,restricted,7342,NA,
1985,y2,commercial,Drift Nets,unrestricted,38194,NA,
1985,y2,commercial,Drift Nets,restricted,10171,NA,
1986,y2,commercial,Drift Nets,unrestricted,36603,NA,
1986,y2,commercial,Drift Nets,restricted,5246,NA,
1987,y2,commercial,Drift Nets,unrestricted,40127,NA,
1987,y2,commercial,Drift Nets,restricted,7331,NA,
1988,y2,commercial,Drift Nets,unrestricted,20009,NA,
1988,y2,commercial,Drift Nets,restricted,15179,NA,
1989,y2,commercial,Drift Nets,unrestricted,21494,NA,
1989,y2,commercial,Drift Nets,restricted,11731,NA,
1990,y2,commercial,Drift Nets,unrestricted,24000,NA,
1990,y2,commercial,Drift Nets,restricted,9171,NA,
1991,y2,commercial,Drift Nets,unrestricted,36260,NA,
1991,y2,commercial,Drift Nets,restricted,2659,NA,
1992,y2,commercial,Drift Nets,unrestricted,25926,NA,
1992,y2,commercial,Drift Nets,restricted,9253,NA,
1993,y2,commercial,Drift Nets,unrestricted,37293,NA,
1993,y2,commercial,Drift Nets,restricted,0,NA,
1994,y2,commercial,Drift Nets,unrestricted,0,NA,
1994,y2,commercial,Drift Nets,restricted,0,NA,
1994,y2,commercial,Drift Nets,restricted8>,41692,NA,
1995,y2,commercial,Drift Nets,unrestricted,39607,NA,
1995,y2,commercial,Drift Nets,restricted,1851,NA,
1996,y2,commercial,Drift Nets,unrestricted,3028,NA,
1996,y2,commercial,Drift Nets,restricted,1,NA,
1997,y2,commercial,Drift Nets,unrestricted,30952,NA,
1997,y2,commercial,Drift Nets,restricted,311,NA,
1998,y2,commercial,Drift Nets,unrestricted,16876,NA,
1998,y2,commercial,Drift Nets,restricted,0,NA,
1999,y2,commercial,Drift Nets,unrestricted,27119,NA,
1999,y2,commercial,Drift Nets,restricted,14,NA,
2000,y2,commercial,Drift Nets,unrestricted,3783,NA,
2000,y2,commercial,Drift Nets,restricted,0,NA,
2001,y2,commercial,Drift Nets,unrestricted,0,NA,
2001,y2,commercial,Drift Nets,restricted,0,NA,
2002,y2,commercial,Drift Nets,unrestricted,0,NA,
2002,y2,commercial,Drift Nets,restricted,0,NA,
2002,y2,commercial,Drift Nets,restricted8>,11434,NA,
2003,y2,commercial,Drift Nets,unrestricted,0,NA,
2003,y2,commercial,Drift Nets,restricted,0,NA,
2003,y2,commercial,Drift Nets,restricted8>,14220,NA,
2004,y2,commercial,Drift Nets,unrestricted,15218,NA,
2004,y2,commercial,Drift Nets,restricted,0,NA,
2004,y2,commercial,Drift Nets,restricted8>,8927,NA,
2005,y2,commercial,Drift Nets,unrestricted,13413,NA,
2005,y2,commercial,Drift Nets,restricted,0,NA,
2006,y2,commercial,Drift Nets,unrestricted,19376,NA,
2006,y2,commercial,Drift Nets,restricted,487,NA,
2007,y2,commercial,Drift Nets,unrestricted,6013,NA,
2007,y2,commercial,Drift Nets,restricted,4068,NA,
2008,y2,commercial,Drift Nets,unrestricted,0,NA,
2008,y2,commercial,Drift Nets,restricted,2111,NA,final row doesn’t sum to true cumulative as comment above in y1
2009,y2,commercial,Drift Nets,unrestricted,0,NA,
2009,y2,commercial,Drift Nets,restricted,2822,NA,
2010,y2,commercial,Drift Nets,unrestricted,0,NA,
2010,y2,commercial,Drift Nets,restricted,4153,NA,
2011,y2,commercial,Drift Nets,unrestricted,0,NA,
2011,y2,commercial,Drift Nets,restricted,2046,NA,
2012,y2,commercial,Drift Nets,unrestricted,0,NA,
2012,y2,commercial,Drift Nets,restricted,697,NA,
2013,y2,commercial,Drift Nets,unrestricted,0,NA,
2013,y2,commercial,Drift Nets,restricted,273,NA,
2014,y2,commercial,Drift Nets,unrestricted,0,NA,
2014,y2,commercial,Drift Nets,restricted,331,NA,
2015,y2,commercial,Drift Nets,unrestricted,0,NA,
2015,y2,commercial,Drift Nets,restricted,1519,NA,
1980,y3,commercial,Drift Nets,unrestricted,3896,NA,
1980,y3,commercial,Drift Nets,restricted,1344,NA,
1981,y3,commercial,Drift Nets,unrestricted,3220,NA,
1981,y3,commercial,Drift Nets,restricted,803,NA,
1982,y3,commercial,Drift Nets,unrestricted,2608,NA,
1982,y3,commercial,Drift Nets,restricted,1,NA,
1983,y3,commercial,Drift Nets,unrestricted,3318,NA,
1983,y3,commercial,Drift Nets,restricted,788,NA,
1984,y3,commercial,Drift Nets,unrestricted,3036,NA,
1984,y3,commercial,Drift Nets,restricted,3,NA,
1985,y3,commercial,Drift Nets,unrestricted,2853,NA,
1985,y3,commercial,Drift Nets,restricted,5,NA,
1986,y3,commercial,Drift Nets,unrestricted,901,NA,
1986,y3,commercial,Drift Nets,restricted,0,NA,
1987,y3,commercial,Drift Nets,unrestricted,2039,NA,
1987,y3,commercial,Drift Nets,restricted,0,NA,
1988,y3,commercial,Drift Nets,unrestricted,1292,NA,
1988,y3,commercial,Drift Nets,restricted,475,NA,
1989,y3,commercial,Drift Nets,unrestricted,1275,NA,
1989,y3,commercial,Drift Nets,restricted,370,NA,
1990,y3,commercial,Drift Nets,unrestricted,2341,NA,
1990,y3,commercial,Drift Nets,restricted,0,NA,
1991,y3,commercial,Drift Nets,unrestricted,2344,NA,
1991,y3,commercial,Drift Nets,restricted,0,NA,
1992,y3,commercial,Drift Nets,unrestricted,1819,NA,
1992,y3,commercial,Drift Nets,restricted,0,NA,
1993,y3,commercial,Drift Nets,unrestricted,1501,NA,
1993,y3,commercial,Drift Nets,restricted,0,NA,
1994,y3,commercial,Drift Nets,unrestricted,1144,NA,
1994,y3,commercial,Drift Nets,restricted,0,NA,
1995,y3,commercial,Drift Nets,unrestricted,0,NA,
1995,y3,commercial,Drift Nets,restricted,0,NA,
1996,y3,commercial,Drift Nets,unrestricted,0,NA,
1996,y3,commercial,Drift Nets,restricted,0,NA,
1997,y3,commercial,Drift Nets,unrestricted,0,NA,
1997,y3,commercial,Drift Nets,restricted,0,NA,
1998,y3,commercial,Drift Nets,unrestricted,0,NA,
1998,y3,commercial,Drift Nets,restricted,0,NA,
1999,y3,commercial,Drift Nets,unrestricted,538,NA,
1999,y3,commercial,Drift Nets,restricted,0,NA,
2000,y3,commercial,Drift Nets,unrestricted,0,NA,
2000,y3,commercial,Drift Nets,restricted,0,NA,
2001,y3,commercial,Drift Nets,unrestricted,0,NA,
2001,y3,commercial,Drift Nets,restricted,0,NA,
2002,y3,commercial,Drift Nets,unrestricted,0,NA,
2002,y3,commercial,Drift Nets,restricted,0,NA,
2003,y3,commercial,Drift Nets,unrestricted,0,NA,
2003,y3,commercial,Drift Nets,restricted,0,NA,
2004,y3,commercial,Drift Nets,unrestricted,0,NA,
2004,y3,commercial,Drift Nets,restricted,0,NA,
2005,y3,commercial,Drift Nets,unrestricted,0,NA,
2005,y3,commercial,Drift Nets,restricted,0,NA,
2006,y3,commercial,Drift Nets,unrestricted,315,NA,
2006,y3,commercial,Drift Nets,restricted,0,NA,
2007,y3,commercial,Drift Nets,unrestricted,190,NA,
2007,y3,commercial,Drift Nets,restricted,0,NA,
2008,y3,commercial,Drift Nets,unrestricted,0,NA,
2008,y3,commercial,Drift Nets,restricted,0,NA,
2009,y3,commercial,Drift Nets,unrestricted,0,NA,
2009,y3,commercial,Drift Nets,restricted,0,NA,
2010,y3,commercial,Drift Nets,unrestricted,0,NA,
2010,y3,commercial,Drift Nets,restricted,0,NA,
2011,y3,commercial,Drift Nets,unrestricted,0,NA,
2011,y3,commercial,Drift Nets,restricted,0,NA,
2012,y3,commercial,Drift Nets,unrestricted,0,NA,
2012,y3,commercial,Drift Nets,restricted,0,NA,
2013,y3,commercial,Drift Nets,unrestricted,0,NA,
2013,y3,commercial,Drift Nets,restricted,0,NA,
2014,y3,commercial,Drift Nets,unrestricted,0,NA,
2014,y3,commercial,Drift Nets,restricted,0,NA,
2015,y3,commercial,Drift Nets,unrestricted,0,NA,
2015,y3,commercial,Drift Nets,restricted,0,NA,
1986,y4,subsistence,"8"" Nets",,NA,116,
1986,y4,subsistence,"6"" Nets",,NA,144,
1986,y4,subsistence,Fish Wheels,,NA,64,
1987,y4,subsistence,"8"" Nets",,NA,107,
1987,y4,subsistence,"6"" Nets",,NA,132,
1987,y4,subsistence,Fish Wheels,,NA,72,
1988,y4,subsistence,Set Nets,,NA,111,
1988,y4,subsistence,Drift Nets,,NA,39,
1988,y4,subsistence,Fish Wheels,,NA,48,
1988,y4,subsistence,Other,,NA,156,
1989,y4,subsistence,Set Nets,,NA,100,
1989,y4,subsistence,Drift Nets,,NA,38,
1989,y4,subsistence,Fish Wheels,,NA,42,
1990,y4,subsistence,Set Nets,,NA,146,
1990,y4,subsistence,Drift Nets,,NA,71,
1990,y4,subsistence,Fish Wheels,,NA,101,
1991,y4,subsistence,Set Nets,,NA,98,
1991,y4,subsistence,Drift Nets,,NA,33,
1991,y4,subsistence,Fish Wheels,,NA,35,
1992,y4,subsistence,Set Nets,,NA,161,
1992,y4,subsistence,Drift Nets,,NA,62,
1992,y4,subsistence,Fish Wheels,,NA,50,
1993,y4,subsistence,Set Nets,,NA,128,
1993,y4,subsistence,Drift Nets,,NA,56,
1993,y4,subsistence,Fish Wheels,,NA,59,
1994,y4,subsistence,Set Nets,,NA,144,
1994,y4,subsistence,Drift Nets,,NA,102,
1994,y4,subsistence,Fish Wheels,,NA,33,
1995,y4,subsistence,Set Nets,,NA,146,
1995,y4,subsistence,Drift Nets,,NA,88,
1995,y4,subsistence,Fish Wheels,,NA,49,
1996,y4,subsistence,Set Nets,,NA,133,
1996,y4,subsistence,Drift Nets,,NA,53,
1996,y4,subsistence,Fish Wheels,,NA,74,
1997,y4,subsistence,Set Nets,,NA,107,
1997,y4,subsistence,Drift Nets,,NA,107,
1997,y4,subsistence,Fish Wheels,,NA,41,
1998,y4,subsistence,Set Nets,,NA,119,
1998,y4,subsistence,Drift Nets,,NA,135,
1998,y4,subsistence,Fish Wheels,,NA,37,
1999,y4,subsistence,Set Nets,,NA,77,
1999,y4,subsistence,Drift Nets,,NA,147,
1999,y4,subsistence,Fish Wheels,,NA,19,
2000,y4,subsistence,Set Nets,,NA,78,
2000,y4,subsistence,Drift Nets,,NA,148,
2000,y4,subsistence,Fish Wheels,,NA,15,
2001,y4,subsistence,Set Nets,,NA,140,
2001,y4,subsistence,Drift Nets,,NA,158,
2001,y4,subsistence,Fish Wheels,,NA,16,
2002,y4,subsistence,Set Nets,,NA,149,
2002,y4,subsistence,Drift Nets,,NA,123,
2002,y4,subsistence,Fish Wheels,,NA,12,
2003,y4,subsistence,Set Nets,,NA,164,
2003,y4,subsistence,Drift Nets,,NA,143,
2003,y4,subsistence,Fish Wheels,,NA,13,
2004,y4,subsistence,Set Nets,,NA,101,
2004,y4,subsistence,Drift Nets,,NA,185,
2004,y4,subsistence,Fish Wheels,,NA,15,
2005,y4,subsistence,Set Nets,,NA,128,
2005,y4,subsistence,Drift Nets,,NA,160,
2005,y4,subsistence,Fish Wheels,,NA,9,
2006,y4,subsistence,Set Nets,,NA,119,
2006,y4,subsistence,Drift Nets,,NA,202,
2006,y4,subsistence,Fish Wheels,,NA,7,
2007,y4,subsistence,Set Nets,,NA,116,
2007,y4,subsistence,Drift Nets,,NA,172,
2007,y4,subsistence,Fish Wheels,,NA,20,
2008,y4,subsistence,Set Nets,,NA,111,
2008,y4,subsistence,Drift Nets,,NA,159,
2008,y4,subsistence,Fish Wheels,,NA,13,
2009,y4,subsistence,Set Nets,,NA,88,
2009,y4,subsistence,Drift Nets,,NA,228,
2009,y4,subsistence,Fish Wheels,,NA,4,
2010,y4,subsistence,Set Nets,,NA,108,
2010,y4,subsistence,Drift Nets,,NA,198,
2010,y4,subsistence,Fish Wheels,,NA,13,
2011,y4,subsistence,Set Nets,,NA,108,
2011,y4,subsistence,Drift Nets,,NA,191,
2011,y4,subsistence,Fish Wheels,,NA,3,
2012,y4,subsistence,Set Nets,,NA,188,
2012,y4,subsistence,Drift Nets,,NA,169,
2012,y4,subsistence,Fish Wheels,,NA,15,
2013,y4,subsistence,Set Nets,,NA,111,
2013,y4,subsistence,Drift Nets,,NA,141,
2013,y4,subsistence,Fish Wheels,,NA,12,
2014,y4,subsistence,Set Nets,,NA,121,
2014,y4,subsistence,Drift Nets,,NA,143,
2014,y4,subsistence,Fish Wheels,,NA,11,
2014,y4,subsistence,Other,,NA,19,
2015,y4,subsistence,Set Nets,,NA,82,
2015,y4,subsistence,Drift Nets,,NA,117,
2015,y4,subsistence,Fish Wheels,,NA,8,
2015,y4,subsistence,Other,,NA,9,
2016,y4,subsistence,Set Nets,,NA,85,
2016,y4,subsistence,Drift Nets,,NA,200,
2016,y4,subsistence,Fish Wheels,,NA,3,
2016,y4,subsistence,Other,,NA,3,
2017,y4,subsistence,Set Nets,,NA,90,
2017,y4,subsistence,Drift Nets,,NA,214,
2017,y4,subsistence,Fish Wheels,,NA,13,
2017,y4,subsistence,Other,,NA,1,
2018,y4,subsistence,Set Nets,,NA,69,
2018,y4,subsistence,Drift Nets,,NA,235,
2018,y4,subsistence,Fish Wheels,,NA,2,
2018,y4,subsistence,Other,,NA,3,
2019,y4,subsistence,Set Nets,,NA,62,
2019,y4,subsistence,Drift Nets,,NA,224,
2019,y4,subsistence,Fish Wheels,,NA,2,
2019,y4,subsistence,Other,,NA,7,
2020,y4,subsistence,Set Nets,,NA,64,
2020,y4,subsistence,Drift Nets,,NA,150,
2020,y4,subsistence,Fish Wheels,,NA,0,
2020,y4,subsistence,Other,,NA,1,
2021,y4,subsistence,Set Nets,,NA,3,
2021,y4,subsistence,Drift Nets,,NA,1,
2021,y4,subsistence,Fish Wheels,,NA,0,
2021,y4,subsistence,Other,,NA,2,
2022,y4,subsistence,Set Nets,,NA,12,
2022,y4,subsistence,Drift Nets,,NA,0,
2022,y4,subsistence,Fish Wheels,,NA,0,
2022,y4,subsistence,Other,,NA,2,
1986,y5,subsistence,"8"" Nets",,NA,170,
1986,y5,subsistence,"6"" Nets",,NA,131,
1986,y5,subsistence,Fish Wheels,,NA,85,
1987,y5,subsistence,"8"" Nets",,NA,167,
1987,y5,subsistence,"6"" Nets",,NA,116,
1987,y5,subsistence,Fish Wheels,,NA,78,
1988,y5,subsistence,Set Nets,,NA,83,
1988,y5,subsistence,Drift Nets,,NA,0,
1988,y5,subsistence,Fish Wheels,,NA,36,
1988,y5,subsistence,Other,,NA,94,
1989,y5,subsistence,Set Nets,,NA,141,
1989,y5,subsistence,Drift Nets,,NA,1,
1989,y5,subsistence,Fish Wheels,,NA,56,
1990,y5,subsistence,Set Nets,,NA,165,
1990,y5,subsistence,Drift Nets,,NA,0,
1990,y5,subsistence,Fish Wheels,,NA,83,
1991,y5,subsistence,Set Nets,,NA,117,
1991,y5,subsistence,Drift Nets,,NA,1,
1991,y5,subsistence,Fish Wheels,,NA,48,
1992,y5,subsistence,Set Nets,,NA,167,
1992,y5,subsistence,Drift Nets,,NA,0,
1992,y5,subsistence,Fish Wheels,,NA,72,
1993,y5,subsistence,Set Nets,,NA,175,
1993,y5,subsistence,Drift Nets,,NA,0,
1993,y5,subsistence,Fish Wheels,,NA,71,
1994,y5,subsistence,Set Nets,,NA,195,
1994,y5,subsistence,Drift Nets,,NA,0,
1994,y5,subsistence,Fish Wheels,,NA,93,
1995,y5,subsistence,Set Nets,,NA,177,
1995,y5,subsistence,Drift Nets,,NA,1,
1995,y5,subsistence,Fish Wheels,,NA,60,
1996,y5,subsistence,Set Nets,,NA,158,
1996,y5,subsistence,Drift Nets,,NA,0,
1996,y5,subsistence,Fish Wheels,,NA,87,
1997,y5,subsistence,Set Nets,,NA,141,
1997,y5,subsistence,Drift Nets,,NA,0,
1997,y5,subsistence,Fish Wheels,,NA,62,
1998,y5,subsistence,Set Nets,,NA,210,
1998,y5,subsistence,Drift Nets,,NA,0,
1998,y5,subsistence,Fish Wheels,,NA,79,
1999,y5,subsistence,Set Nets,,NA,175,
1999,y5,subsistence,Drift Nets,,NA,0,
1999,y5,subsistence,Fish Wheels,,NA,72,
2000,y5,subsistence,Set Nets,,NA,144,
2000,y5,subsistence,Drift Nets,,NA,3,
2000,y5,subsistence,Fish Wheels,,NA,49,
2001,y5,subsistence,Set Nets,,NA,120,
2001,y5,subsistence,Drift Nets,,NA,0,
2001,y5,subsistence,Fish Wheels,,NA,30,
2002,y5,subsistence,Set Nets,,NA,162,
2002,y5,subsistence,Drift Nets,,NA,0,
2002,y5,subsistence,Fish Wheels,,NA,43,
2003,y5,subsistence,Set Nets,,NA,212,
2003,y5,subsistence,Drift Nets,,NA,0,
2003,y5,subsistence,Fish Wheels,,NA,59,
2004,y5,subsistence,Set Nets,,NA,185,
2004,y5,subsistence,Drift Nets,,NA,1,
2004,y5,subsistence,Fish Wheels,,NA,47,
2005,y5,subsistence,Set Nets,,NA,211,
2005,y5,subsistence,Drift Nets,,NA,0,
2005,y5,subsistence,Fish Wheels,,NA,58,
2006,y5,subsistence,Set Nets,,NA,203,
2006,y5,subsistence,Drift Nets,,NA,1,
2006,y5,subsistence,Fish Wheels,,NA,59,
2007,y5,subsistence,Set Nets,,NA,191,
2007,y5,subsistence,Drift Nets,,NA,0,
2007,y5,subsistence,Fish Wheels,,NA,61,
2008,y5,subsistence,Set Nets,,NA,199,
2008,y5,subsistence,Drift Nets,,NA,3,
2008,y5,subsistence,Fish Wheels,,NA,59,
2009,y5,subsistence,Set Nets,,NA,168,
2009,y5,subsistence,Drift Nets,,NA,0,
2009,y5,subsistence,Fish Wheels,,NA,55,
2010,y5,subsistence,Set Nets,,NA,206,
2010,y5,subsistence,Drift Nets,,NA,0,
2010,y5,subsistence,Fish Wheels,,NA,57,
2011,y5,subsistence,Set Nets,,NA,205,
2011,y5,subsistence,Drift Nets,,NA,1,
2011,y5,subsistence,Fish Wheels,,NA,75,
2012,y5,subsistence,Set Nets,,NA,161,
2012,y5,subsistence,Drift Nets,,NA,1,
2012,y5,subsistence,Fish Wheels,,NA,54,
2013,y5,subsistence,Set Nets,,NA,132,
2013,y5,subsistence,Drift Nets,,NA,0,
2013,y5,subsistence,Fish Wheels,,NA,80,
2014,y5,subsistence,Set Nets,,NA,86,
2014,y5,subsistence,Drift Nets,,NA,0,
2014,y5,subsistence,Fish Wheels,,NA,62,
2014,y5,subsistence,Other,,NA,7,
2015,y5,subsistence,Set Nets,,NA,92,
2015,y5,subsistence,Drift Nets,,NA,0,
2015,y5,subsistence,Fish Wheels,,NA,48,
2015,y5,subsistence,Other,,NA,0,
2016,y5,subsistence,Set Nets,,NA,187,
2016,y5,subsistence,Drift Nets,,NA,0,
2016,y5,subsistence,Fish Wheels,,NA,69,
2016,y5,subsistence,Other,,NA,3,
2017,y5,subsistence,Set Nets,,NA,210,
2017,y5,subsistence,Drift Nets,,NA,2,
2017,y5,subsistence,Fish Wheels,,NA,74,
2017,y5,subsistence,Other,,NA,3,
2018,y5,subsistence,Set Nets,,NA,188,
2018,y5,subsistence,Drift Nets,,NA,0,
2018,y5,subsistence,Fish Wheels,,NA,85,
2018,y5,subsistence,Other,,NA,4,
2019,y5,subsistence,Set Nets,,NA,183,
2019,y5,subsistence,Drift Nets,,NA,1,
2019,y5,subsistence,Fish Wheels,,NA,72,
2019,y5,subsistence,Other,,NA,5,
2020,y5,subsistence,Set Nets,,NA,169,
2020,y5,subsistence,Drift Nets,,NA,3,
2020,y5,subsistence,Fish Wheels,,NA,32,
2020,y5,subsistence,Other,,NA,0,
2021,y5,subsistence,Set Nets,,NA,46,
2021,y5,subsistence,Drift Nets,,NA,0,
2021,y5,subsistence,Fish Wheels,,NA,1,
2021,y5,subsistence,Other,,NA,6,
2022,y5,subsistence,Set Nets,,NA,42,
2022,y5,subsistence,Drift Nets,,NA,0,
2022,y5,subsistence,Fish Wheels,,NA,3,
2022,y5,subsistence,Other,,NA,0,
